For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
21.7,4.76,664,848,846,283,-658.3,296,-652,-106,-101.5,956,956,904,321,208,748,755,-91.55
21.8,4.94,649,848,847,286,-645.8,295,-639,-98,-86.2,955,948,906,278,226,753,752,-81.18
21.6,4.94,665,848,847,282,-647.7,297,-642,-101,-82.3,957,948,910,234,234,746,767,-77.25
22.1,4.94,632,847,846,289,-649.6,291,-658,-109,-95.8,959,948,905,877,460,745,765,-87.82
21.9,4.94,614,848,846,293,-641,285,-655,-100,-102.1,949,956,908,69,538,742,774,-91.65
23.3,4.94,602,847,846,295,-642.5,284,-655,-95,-103.4,943,961,909,139,304,747,771,-90.84
21.6,4.94,638,848,846,292,-648.5,291,-657,-99,-90.2,922,967,905,78,469,754,771,-83.09
21.8,4.94,619,847,846,292,-638.2,291,-648,-95,-92,890,973,895,304,130,767,787,-85.15
22.9,4.94,573,847,846,291,-639.1,291,-649,-101,-93.7,874,973,892,243,104,749,771,-87.87
21.9,4.94,606,847,846,292,-646.7,291,-648,-110,-91.9,912,964,898,443,61,755,769,-88.03
22,4.94,586,847,846,287,-646.3,292,-645,-106,-91.7,936,960,897,312,0,747,765,-84.32
21.5,4.94,651,847,845,287,-644.5,295,-641,-99,-88,943,964,905,104,61,738,753,-79.6
21.8,4.94,649,843,842,286,-638.6,289,-643,-106,-91.1,931,977,900,278,0,739,760,-77.89
20.7,4.94,639,843,841,289,-629.6,290,-635,-100,-90.5,939,970,903,356,0,733,757,-79.74
20.7,4.94,617,843,841,289,-644.8,289,-654,-113,-100.5,932,977,901,486,0,746,769,-86.82
21.8,4.94,585,842,841,286,-640.4,286,-648,-95,-95.8,911,979,896,391,0,759,772,-80.56
22,4.94,622,842,841,292,-645.9,282,-653,-103,-97.2,881,979,893,668,0,751,762,-84.3
21.5,4.47,605,817,816,292,-593.9,291,-595,-83,-84.6,891,978,915,78,0,666,689,-75.44
18,4.47,596,774,773,308,-519,309,-525,-67,-68.7,878,965,927,104,0,557,593,-64.61
18.8,4.47,568,775,773,308,-525.3,304,-525,-72,-72.1,905,952,934,52,0,566,589,-68.16
18.4,4.47,596,775,774,308,-528.6,304,-535,-78,-68.3,927,946,946,122,9,546,584,-69.22
18,4.47,576,775,774,304,-535.1,308,-524,-78,-74.1,921,939,932,95,0,548,569,-72.02
17.7,4.47,587,774,774,314,-524.4,314,-524,-72,-69.2,925,936,948,113,217,560,580,-67.93
18.4,4.47,566,774,774,307,-536.5,307,-535,-75,-75.1,913,936,925,61,200,554,572,-71.62
18.3,4.47,582,774,773,309,-525,304,-528,-68,-70,915,936,919,52,208,555,575,-69.16
18.4,4.47,596,774,773,307,-535.8,310,-537,-73,-73.3,904,945,921,139,191,564,588,-74.16
18.4,4.47,591,762,761,308,-515.3,308,-517,-69,-68.6,895,944,926,165,200,524,545,-66.69
18.4,4.47,577,757,755,312,-510.1,303,-514,-64,-60.7,885,951,930,122,208,536,551,-65.11
18.9,4.47,580,758,756,312,-517.6,303,-522,-70,-78.1,910,949,936,139,208,521,546,-76.64
17.3,4.47,565,742,741,313,-496.6,294,-499,-71,-67.2,905,951,913,113,208,483,512,-67.21
17.6,4.47,566,737,736,307,-492,294,-492,-73,-67.1,915,941,923,61,191,469,496,-69.64
17.9,4.48,566,742,740,303,-499.8,300,-495,-72,-67,911,936,918,52,182,499,518,-69.86
20.3,4.47,605,774,773,295,-551.6,302,-548,-79,-68.5,925,942,911,234,174,563,582,-73.1
20.8,4.71,588,797,795,297,-580.2,290,-588,-82,-82.9,942,956,905,408,286,658,679,-80.9
11,3.14,662,757,756,354,-480.5,355,-473,-66,-70.1,1002,840,992,43,208,516,522,-64.05
21.9,4.36,665,827,826,307,-605.7,289,-620,-90,-84.6,975,937,913,391,278,678,707,-75.59
20.8,4.47,665,822,825,302,-607.8,293,-612,-84,-75,975,955,915,200,226,691,717,-80.24
21.7,4.53,636,822,825,304,-598.2,287,-619,-81,-80,947,958,911,356,252,698,733,-80.96
22.1,4.94,604,832,836,301,-613.7,289,-625,-78,-75.4,932,966,908,208,243,720,755,-77.66
21.9,4.65,604,838,836,299,-626.1,291,-630,-80,-86.9,931,953,903,69,295,718,747,-86.07
22.1,4.54,595,837,836,301,-619.5,288,-622,-85,-85.3,959,952,902,104,252,730,750,-89.65
21.8,4.53,609,837,836,299,-625.4,283,-637,-89,-87.5,966,956,899,417,651,729,765,-87.77
22.1,4.53,642,837,836,300,-627.5,288,-631,-86,-88.2,973,950,918,825,1085,740,751,-88.12
22.3,4.59,613,837,836,302,-627,282,-641,-93,-86.7,954,949,910,312,486,717,751,-88.16
23,4.59,639,837,836,304,-622.7,284,-633,-94,-84.2,959,947,914,260,217,715,749,-83.8
22.2,4.65,596,838,837,302,-625.3,281,-642,-104,-91.6,931,951,900,347,208,716,766,-94.77
21.9,4.65,636,837,836,302,-630.2,283,-638,-96,-83.2,946,956,893,52,425,710,747,-86.99
21.9,4.65,653,837,836,300,-633,289,-633,-84,-89,934,967,904,234,52,737,748,-87.55
23.2,4.76,652,838,836,304,-617.5,287,-625,-86,-81.2,916,989,901,347,0,708,747,-82.85
22.2,4.76,607,838,836,300,-624.8,287,-630,-93,-92.2,916,987,898,642,0,727,764,-91.16
15,3.93,653,757,756,355,-471.9,335,-472,-58,-60,939,803,980,52,0,497,517,-64.75
16.8,4.76,611,798,796,331,-547.2,325,-538,-73,-76.5,945,881,948,52,0,616,619,-77.63
17.9,4.76,648,797,796,318,-549.3,313,-553,-74,-71,953,917,926,69,0,608,631,-73.84
18.7,4.76,618,808,806,318,-565.2,304,-568,-87,-91.5,933,934,919,156,0,623,646,-86.13
18.7,4.82,586,817,816,315,-576.6,305,-576,-86,-85.5,931,937,917,122,9,649,668,-84.12
21.6,4.65,581,847,846,300,-637.1,287,-647,-98,-86.4,917,928,881,512,269,752,775,-86.49
23.1,4.76,551,848,851,299,-640.9,288,-657,-101,-95.8,909,946,882,616,512,760,791,-94.01
22.3,4.65,598,847,851,303,-632,295,-644,-90,-91,924,946,905,477,312,742,773,-85.93
20.4,4.36,630,826,825,308,-593.6,295,-602,-77,-78,917,950,918,78,295,695,705,-78.75
20.6,4.53,627,819,819,304,-590,286,-601,-80,-79.5,906,973,899,208,365,676,702,-77.2
20.8,4.53,603,819,818,303,-599.7,287,-613,-81,-91,940,971,912,174,382,687,714,-84.96
20.9,4.76,630,822,825,301,-609.5,289,-620,-92,-92.5,963,980,921,148,321,690,709,-85.9
